Fecha;C1
30/03/2023 04:05:20;0.93
30/03/2023 04:20:20;0.96
30/03/2023 04:35:20;0.94
30/03/2023 04:50:20;0.89
30/03/2023 05:05:20;0.94
30/03/2023 05:20:20;1.16
30/03/2023 05:35:20;0.98
30/03/2023 05:50:20;0.00
30/03/2023 06:05:20;0.00
30/03/2023 06:20:20;0.00
30/03/2023 06:35:20;0.00
30/03/2023 06:50:20;0.00
30/03/2023 07:05:20;0.00
30/03/2023 07:20:20;0.00
30/03/2023 07:35:20;0.00
30/03/2023 07:50:20;0.00
30/03/2023 08:05:20;0.00
30/03/2023 08:20:20;0.00
30/03/2023 08:35:20;0.00
30/03/2023 08:50:20;0.00
30/03/2023 09:05:20;0.00
30/03/2023 09:20:20;0.00
30/03/2023 09:35:20;0.00
30/03/2023 09:50:20;0.00
30/03/2023 10:05:20;0.00
30/03/2023 10:20:20;0.00
30/03/2023 10:35:20;0.00
30/03/2023 10:50:20;0.00
30/03/2023 11:05:20;0.00
30/03/2023 11:20:20;0.00
30/03/2023 11:35:20;0.00
30/03/2023 11:50:20;0.00
30/03/2023 12:05:20;0.00
30/03/2023 12:20:20;0.00
30/03/2023 12:35:20;2.57
30/03/2023 12:50:20;1.88
30/03/2023 13:05:20;2.70
30/03/2023 13:20:20;1.86
30/03/2023 13:35:20;2.83
30/03/2023 13:50:20;2.02
30/03/2023 14:05:20;2.13
30/03/2023 14:20:20;2.76
30/03/2023 14:35:20;1.77
30/03/2023 14:50:20;3.05
30/03/2023 15:05:20;2.74
30/03/2023 15:20:20;2.14
30/03/2023 15:35:20;2.27
30/03/2023 15:50:20;2.50
30/03/2023 16:05:20;2.29
30/03/2023 16:20:20;2.70
30/03/2023 16:35:20;2.36
30/03/2023 16:50:20;3.67
30/03/2023 17:05:20;3.63
30/03/2023 17:20:20;3.30
30/03/2023 17:35:20;3.21
30/03/2023 17:50:20;4.13
30/03/2023 18:05:20;2.40
30/03/2023 18:20:20;1.41
30/03/2023 18:35:20;1.76
